87261,15497,9325
16466,13685,49674
272,39922,32944
29156,19635,87395
45647,1510,36341
78704,22577,45463
15168,81754,21365
65667,33114,60925
47949,12251,24612
73884,45102,4144
36912,10653,3612
15186,27776,96602
18243,9918,64315
49683,5690,55928
27796,78204,78271
57239,8289,79957
20924,40938,94352
96209,53766,30815
55687,39207,14530
77608,55827,42255
58712,7565,62300
34446,27516,47919
83681,63797,59259
89683,17229,43205
36757,31448,43294
72536,46575,91020
29667,60799,34449
79396,82070,86971
40524,60073,88070
63390,87479,99171
87845,7030,30673
82418,74175,51260
1792,95103,78439
2413,33459,42972
62511,34454,22028
25053,76673,33120
7360,44192,99810
23830,42493,74927
84247,10555,21525
70208,38100,94569
91944,23556,92569
50679,17541,58807
90293,96311,81752
68885,58980,66872
38890,93314,87739
94339,74629,13149
32756,99473,28151
54641,45468,39627
39472,59409,36872
81429,8071,80101
82730,82061,6736
54822,98690,95015
69425,60079,4006
60761,28358,26971
75598,83327,85907
66229,18737,28210
76380,98809,40058
42012,64287,45613
66867,90749,85260
35027,72615,31691
16705,34021,21616
77028,54254,68031
61138,19554,11188
38699,60981,78095
78325,75342,19860
79834,16349,15805
35061,38109,68705
31783,22773,57165
6717,21138,7599
12993,57528,39678
92522,24250,36248
44028,17019,55871
54881,48181,98108
45889,19328,43752
84757,32772,41189
8862,92579,95051
80916,95433,96828
19804,32996,78873
65342,53512,50487
18115,98335,83924
56023,75277,92791
69531,78027,1534
70042,3388,95815
4546,45665,38095
44589,70099,1123
41132,73317,39761
51889,15446,24769
22683,32867,44570
10424,94724,19596
78937,33955,65028
24378,8671,8816
48942,96617,95694
59322,7983,83199
5693,64363,10400
79927,69125,30257
39161,11324,54577
78876,64031,91374
91019,31306,88306
40190,75753,11211
42987,4475,38792
98680,97311,67023
52985,30493,77074
41125,22366,69997
74695,59300,2908
95685,18132,56829
3245,76163,61347
64103,35009,87751
15695,98298,79553
74166,59398,44804
70085,63350,17884
48332,55083,20037
79339,68769,73567
82302,2328,69379
87887,72353,41829
86677,51618,84995
99752,19457,44469
98394,30130,76564
52540,60424,58974
41890,69361,27417
26683,73845,13775
50779,16156,23814
16667,58520,83077
72340,95653,84256
73476,77464,80082
84171,66502,60728
47087,14206,62787
22972,1018,34702
97754,53864,55468
69792,68348,41724
30566,83958,45950
89039,43359,91009
9406,25312,70463
81760,73356,83549
87879,29183,38159
66652,20538,94963
30043,91797,55248
43039,91569,27101
15788,45618,82588
57733,62512,9959
46498,66174,44883
32123,23631,31494
1321,2206,66833
39001,3690,7239
49798,7977,84396
48732,98527,50644
52393,65428,14381
49379,4450,14581
63913,6212,12845
61268,58116,73825
27322,81956,30147
10942,63928,40482
96512,27815,76473
9719,78353,55450
