98026,50027
98026,51253
98365,51253
98365,52482
98403,52482
98403,53637
97409,53637
97409,54895
97872,54895
97872,56084
97561,56084
97561,57312
97555,57312
97555,58535
97467,58535
97467,59648
96817,59648
96817,60876
96748,60876
96748,61950
96046,61950
96046,63257
96232,63257
96232,64484
96072,64484
96072,65525
95336,65525
95336,66763
95183,66763
95183,67826
94554,67826
94554,68859
93879,68859
93879,70016
93498,70016
93498,71138
93030,71138
93030,72370
92767,72370
92767,73556
92384,73556
92384,74475
91524,74475
91524,75412
90719,75412
90719,76223
89739,76223
89739,77350
89247,77350
89247,78270
88453,78270
88453,79268
87767,79268
87767,80557
87432,80557
87432,81020
86092,81020
86092,82200
85599,82200
85599,83322
85015,83322
85015,83942
83903,83942
83903,85123
83349,85123
83349,85282
81840,85282
81840,86670
81444,86670
81444,87034
80162,87034
80162,88228
79556,88228
79556,88483
78225,88483
78225,89709
77605,89709
77605,89775
76181,89775
76181,90813
75407,90813
75407,91095
74160,91095
74160,91983
73271,91983
73271,92633
72239,92633
72239,92763
70946,92763
70946,93977
70176,93977
70176,94375
69013,94375
69013,94971
67934,94971
67934,95187
66706,95187
66706,95210
65424,95210
65424,95831
64350,95831
64350,95872
63097,95872
63097,96281
61955,96281
61955,96931
60862,96931
60862,96789
59587,96789
59587,97666
58515,97666
58515,97328
57222,97328
57222,97547
56028,97547
56028,97495
54802,97495
54802,98146
53638,98146
53638,98203
52417,98203
52417,97552
51177,97552
51177,98186
49972,98186
49972,98008
48756,98008
48756,97584
47559,97584
47559,97837
46329,97837
46329,97738
45117,97738
45117,97374
43938,97374
43938,97128
42752,97128
42752,97602
41440,97602
41440,97498
40210,97498
40210,96673
39141,96673
39141,96852
37840,96852
37840,96487
36669,96487
36669,95864
35581,95864
35581,95852
34297,95852
34297,94765
33391,94765
33391,94491
32198,94491
32198,93698
31217,93698
31217,93860
29816,93860
29816,93190
28783,93190
28783,92866
27577,92866
27577,92007
26652,92007
26652,90944
25865,90944
25865,90955
24439,90955
24439,90151
23504,90151
23504,89123
22735,89123
22735,88454
21728,88454
21728,87576
20879,87576
20879,87301
19549,87301
19549,86675
18478,86675
18478,85344
18031,85344
18031,84852
16832,84852
16832,83805
16155,83805
16155,82982
15262,82982
15262,82389
14108,82389
14108,81552
13203,81552
13203,80251
12856,80251
12856,79075
12392,79075
12392,78444
11217,78444
11217,77176
10906,77176
10906,76628
9545,76628
9545,75215
9493,75215
9493,74353
8575,74353
8575,73378
7822,73378
7822,72230
7382,72230
7382,71271
6572,71271
6572,70075
6242,70075
6242,68791
6141,68791
6141,67703
5606,67703
5606,66605
5086,66605
5086,65528
4484,65528
4484,64409
3981,64409
3981,63291
3449,63291
3449,62077
3246,62077
3246,60872
3026,60872
3026,59726
2531,59726
2531,58459
2646,58459
2646,57232
2611,57232
2611,56068
2137,56068
2137,54782
2704,54782
2704,53581
2618,53581
2618,52398
2158,52398
2158,51184
2171,51184
2171,50025
94870,50025
94870,48753
1878,48753
1878,47556
2359,47556
2359,46326
2118,46326
2118,45124
2329,45124
2329,43949
2710,43949
2710,42653
2227,42653
2227,41467
2549,41467
2549,40246
2673,40246
2673,39173
3466,39173
3466,37914
